t+5,t+6,t+7,t+8
0.0,8.16,12.34,0.0
8.16,12.34,0.0,0.0
12.34,0.0,0.0,33.0
0.0,0.0,33.0,0.0
0.0,33.0,0.0,0.0
33.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,43.0
0.0,0.0,43.0,15.5
0.0,43.0,15.5,0.0
43.0,15.5,0.0,46.0
15.5,0.0,46.0,0.0
0.0,46.0,0.0,21.5
46.0,0.0,21.5,0.0
0.0,21.5,0.0,0.0
21.5,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,14.16
0.0,0.0,14.16,69.34
0.0,14.16,69.34,32.16
14.16,69.34,32.16,27.84
69.34,32.16,27.84,41.0
32.16,27.84,41.0,17.0
27.84,41.0,17.0,0.0
41.0,17.0,0.0,26.5
17.0,0.0,26.5,86.0
0.0,26.5,86.0,29.5
26.5,86.0,29.5,9.5
86.0,29.5,9.5,0.0
29.5,9.5,0.0,0.0
9.5,0.0,0.0,0.0
0.0,0.0,0.0,20.0
0.0,0.0,20.0,2.16
0.0,20.0,2.16,75.34
20.0,2.16,75.34,0.0
2.16,75.34,0.0,0.0
75.34,0.0,0.0,0.0
0.0,0.0,0.0,16.0
0.0,0.0,16.0,0.0
0.0,16.0,0.0,0.0
16.0,0.0,0.0,48.0
0.0,0.0,48.0,5.0
0.0,48.0,5.0,0.0
48.0,5.0,0.0,89.0
5.0,0.0,89.0,52.16
0.0,89.0,52.16,22.84
89.0,52.16,22.84,0.0
52.16,22.84,0.0,0.0
22.84,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,91.0
0.0,0.0,91.0,91.0
0.0,91.0,91.0,0.0
91.0,91.0,0.0,0.0
91.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,4.0
0.0,0.0,4.0,0.0
0.0,4.0,0.0,24.16
4.0,0.0,24.16,0.0
0.0,24.16,0.0,0.0
24.16,0.0,0.0,0.0
0.0,0.0,0.0,10.16
0.0,0.0,10.16,0.67
0.0,10.16,0.67,0.0
10.16,0.67,0.0,0.0
0.67,0.0,0.0,0.0
0.0,0.0,0.0,12.4
0.0,0.0,12.4,0.0
0.0,12.4,0.0,55.16
12.4,0.0,55.16,8.64
0.0,55.16,8.64,0.0
55.16,8.64,0.0,0.0
8.64,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,39.0
0.0,0.0,39.0,4.8
0.0,39.0,4.8,0.0
39.0,4.8,0.0,0.0
4.8,0.0,0.0,49.2
0.0,0.0,49.2,0.0
0.0,49.2,0.0,0.0
49.2,0.0,0.0,0.0
0.0,0.0,0.0,5.2
0.0,0.0,5.2,0.0
0.0,5.2,0.0,0.0
5.2,0.0,0.0,127.3
0.0,0.0,127.3,0.0
0.0,127.3,0.0,8.16
127.3,0.0,8.16,7.84
0.0,8.16,7.84,0.0
8.16,7.84,0.0,23.0
7.84,0.0,23.0,16.0
0.0,23.0,16.0,53.5
23.0,16.0,53.5,5.0
16.0,53.5,5.0,0.0
53.5,5.0,0.0,22.0
5.0,0.0,22.0,52.6
0.0,22.0,52.6,11.2
22.0,52.6,11.2,2.0
52.6,11.2,2.0,0.0
11.2,2.0,0.0,48.2
2.0,0.0,48.2,39.8
0.0,48.2,39.8,41.5
48.2,39.8,41.5,0.0
39.8,41.5,0.0,22.3
41.5,0.0,22.3,0.0
0.0,22.3,0.0,0.0
22.3,0.0,0.0,0.0
0.0,0.0,0.0,50.4
0.0,0.0,50.4,0.0
0.0,50.4,0.0,0.0
50.4,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,207.18
0.0,0.0,207.18,0.0
0.0,207.18,0.0,0.0
207.18,0.0,0.0,17.07
0.0,0.0,17.07,90.49
0.0,17.07,90.49,50.8
17.07,90.49,50.8,79.2
90.49,50.8,79.2,31.5
50.8,79.2,31.5,0.0
79.2,31.5,0.0,30.76
31.5,0.0,30.76,0.0
0.0,30.76,0.0,35.91
30.76,0.0,35.91,3.59
0.0,35.91,3.59,0.0
35.91,3.59,0.0,45.17
3.59,0.0,45.17,0.33
0.0,45.17,0.33,22.25
45.17,0.33,22.25,22.25
0.33,22.25,22.25,0.0
22.25,22.25,0.0,0.0
22.25,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,218.0
0.0,0.0,218.0,0.0
0.0,218.0,0.0,0.0
218.0,0.0,0.0,0.0
0.0,0.0,0.0,50.5
0.0,0.0,50.5,0.0
0.0,50.5,0.0,77.0
50.5,0.0,77.0,0.0
0.0,77.0,0.0,43.25
77.0,0.0,43.25,326.76
0.0,43.25,326.76,14.82
43.25,326.76,14.82,0.0
326.76,14.82,0.0,57.32
14.82,0.0,57.32,24.42
0.0,57.32,24.42,115.5
57.32,24.42,115.5,43.21
24.42,115.5,43.21,0.72
115.5,43.21,0.72,0.0
43.21,0.72,0.0,106.0
0.72,0.0,106.0,0.0
0.0,106.0,0.0,0.0
106.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,159.5
0.0,0.0,159.5,0.0
0.0,159.5,0.0,0.0
159.5,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,23.5
0.0,0.0,23.5,0.0
0.0,23.5,0.0,0.0
23.5,0.0,0.0,70.0
0.0,0.0,70.0,0.0
0.0,70.0,0.0,0.0
70.0,0.0,0.0,80.0
0.0,0.0,80.0,57.5
0.0,80.0,57.5,0.0
80.0,57.5,0.0,115.0
57.5,0.0,115.0,0.0
0.0,115.0,0.0,75.5
115.0,0.0,75.5,61.0
0.0,75.5,61.0,57.5
75.5,61.0,57.5,194.0
61.0,57.5,194.0,153.5
57.5,194.0,153.5,0.0
194.0,153.5,0.0,430.0
153.5,0.0,430.0,312.0
0.0,430.0,312.0,0.0
430.0,312.0,0.0,39.5
0.0,0.0,0.0,0.0
0.0,0.0,0.0,62.0
0.0,0.0,62.0,0.0
0.0,62.0,0.0,0.0
62.0,0.0,0.0,0.0
0.0,0.0,0.0,79.5
0.0,0.0,79.5,103.5
0.0,79.5,103.5,0.0
79.5,103.5,0.0,0.0
103.5,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,12.0
0.0,0.0,12.0,0.0
0.0,12.0,0.0,0.0
12.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,47.0
0.0,0.0,47.0,0.0
0.0,47.0,0.0,0.0
47.0,0.0,0.0,0.0
0.0,0.0,0.0,10.0
0.0,0.0,10.0,92.5
0.0,10.0,92.5,42.5
10.0,92.5,42.5,16.5
92.5,42.5,16.5,0.0
42.5,16.5,0.0,0.0
16.5,0.0,0.0,66.5
0.0,0.0,66.5,0.0
0.0,66.5,0.0,0.0
66.5,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,55.0
0.0,0.0,55.0,15.0
0.0,55.0,15.0,0.0
55.0,15.0,0.0,0.0
15.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,31.0
0.0,0.0,31.0,0.0
0.0,31.0,0.0,44.5
31.0,0.0,44.5,0.0
0.0,44.5,0.0,0.0
44.5,0.0,0.0,0.0
0.0,0.0,0.0,30.48
0.0,0.0,30.48,11.02
0.0,30.48,11.02,0.0
30.48,11.02,0.0,14.52
11.02,0.0,14.52,15.84
0.0,14.52,15.84,0.0
14.52,15.84,0.0,27.06
15.84,0.0,27.06,7.08
0.0,27.06,7.08,0.0
27.06,7.08,0.0,0.0
7.08,0.0,0.0,0.0
0.0,0.0,0.0,7.0
0.0,0.0,7.0,10.0
0.0,7.0,10.0,16.0
7.0,10.0,16.0,87.0
10.0,16.0,87.0,0.0
16.0,87.0,0.0,60.0
87.0,0.0,60.0,96.0
0.0,60.0,96.0,61.5
60.0,96.0,61.5,0.0
96.0,61.5,0.0,0.0
61.5,0.0,0.0,78.0
0.0,0.0,78.0,8.5
0.0,78.0,8.5,0.0
78.0,8.5,0.0,30.0
8.5,0.0,30.0,0.0
0.0,30.0,0.0,0.0
30.0,0.0,0.0,0.0
0.0,0.0,0.0,15.0
0.0,0.0,15.0,2.0
0.0,15.0,2.0,14.0
15.0,2.0,14.0,0.0
2.0,14.0,0.0,67.0
14.0,0.0,67.0,22.0
0.0,67.0,22.0,0.0
67.0,22.0,0.0,31.0
22.0,0.0,31.0,26.5
0.0,31.0,26.5,14.0
31.0,26.5,14.0,0.0
26.5,14.0,0.0,35.0
14.0,0.0,35.0,0.0
0.0,35.0,0.0,0.0
35.0,0.0,0.0,17.5
0.0,0.0,17.5,0.0
0.0,17.5,0.0,22.0
17.5,0.0,22.0,31.0
0.0,22.0,31.0,0.0
22.0,31.0,0.0,0.0
31.0,0.0,0.0,0.0
0.0,0.0,0.0,3.5
0.0,0.0,3.5,0.0
0.0,3.5,0.0,0.0
3.5,0.0,0.0,0.0
0.0,0.0,0.0,14.0
0.0,0.0,14.0,3.0
0.0,14.0,3.0,133.5
14.0,3.0,133.5,8.0
3.0,133.5,8.0,0.0
133.5,8.0,0.0,0.0
8.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,33.0
0.0,0.0,33.0,22.0
0.0,33.0,22.0,3.0
33.0,22.0,3.0,51.0
22.0,3.0,51.0,55.2
3.0,51.0,55.2,9.3
51.0,55.2,9.3,6.0
55.2,9.3,6.0,0.0
9.3,6.0,0.0,10.0
