Model,MAE,SD of absolute error,RMSE,Accuracy(500)
SS,351.00653076171875,337.63019730795907,487.0315537775761,0.8404669260700389
ANN,301.3388366699219,387.7678702806349,491.089599609375,0.8054474708171206
