Number,Train,Test
CC110108002300,34,9
CC110208002500,33,9
CC110108004500,34,9
CC110210002800,33,9
CC110208001800,33,9
CC110108004300,34,9
CC110105002300,33,9
CC110108002800,34,9
CC110208003600,33,9
CC110106001800,34,9
CC110108004700,34,9
CC110106004900,52,14
CC1101080,34,9
CC1102080,34,9
CC1102150,34,9
CC1101060,34,9
CC1102200,34,9
CC1101050,34,9
CC1102100,34,9
CC1102120,34,9
CC1102090,33,9
CC1102070,33,9
CC1101040,34,9
CC1102035,33,9
CC1102300,33,9
CC1101100,34,9
CC1102400,34,9
CC1102160,33,9
